Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Increased_Cost Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,6164.34,73972.08,USD,"Quantity (1), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (750 GB)"
Increased_Cost Estimate,US East (N. Virginia),Amazon EC2,0,13702.8,164433.60,USD,"Operating system (Linux), Quantity (12), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (250 GB)"
Increased_Cost Estimate,US East (N. Virginia),Elastic Load Balancing,0,37.52,450.24,USD,Number of Application Load Balancers (2)
Increased_Cost Estimate,US East (N. Virginia),S3 Standard,0,48.46,581.52,USD,S3 Standard storage (2 TB per month)
Increased_Cost Estimate,US East (N. Virginia),Data Transfer,0,0,0.00,USD," Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Not selected) 0 TB per month 
"
Increased_Cost Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,33.3,399.60,USD,Number of NAT Gateways (1)



"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
